DATE,SP500,DJIA,NASDAQ100
2016-04-08,2047.6,17576.96,4474.93
2016-04-11,2041.99,17556.41,4458.71
2016-04-12,2061.72,17721.25,4496.04
2016-04-13,2082.42,17908.28,4554.72
2016-04-14,2082.78,17926.43,4554.62
2016-04-15,2080.73,17897.46,4543.16
2016-04-18,2094.34,18004.16,4569.31
2016-04-19,2100.8,18053.6,4537.09
2016-04-20,2102.4,18096.27,4540.44
2016-04-21,2091.48,17982.52,4540.8
2016-04-22,2091.58,18003.75,4474.19
2016-04-25,2087.79,17977.24,4474.13
2016-04-26,2091.7,17990.32,4452.97
2016-04-27,2095.15,18041.55,4416.63
2016-04-28,2075.81,17830.76,4363.99
2016-04-29,2065.3,17773.64,4341.3
2016-05-02,2081.43,17891.16,4381.3
2016-05-03,2063.37,17750.91,4341.39
2016-05-04,2051.12,17651.26,4312.01
2016-05-05,2050.63,17660.71,4309.48
2016-05-06,2057.14,17740.63,4330.17
2016-05-09,2058.69,17705.91,4341.23
2016-05-10,2084.39,17928.35,4402.04
2016-05-11,2064.46,17711.12,4361.03
2016-05-12,2064.11,17720.5,4342.81
2016-05-13,2046.61,17535.32,4326.53
2016-05-16,2066.66,17710.71,4380.48
2016-05-17,2047.21,17529.98,4322.56
2016-05-18,2047.63,17526.62,4338.23
2016-05-19,2040.04,17435.4,4315.58
2016-05-20,2052.32,17500.94,4362.9
2016-05-23,2048.04,17492.93,4355.1
2016-05-24,2076.06,17706.05,4444.3
2016-05-25,2090.54,17851.51,4476.43
2016-05-26,2090.1,17828.29,4487.96
2016-05-27,2099.06,17873.22,4512.54
2016-05-30,,,
2016-05-31,2096.96,17787.2,4523.89
2016-06-01,2099.33,17789.67,4520.07
2016-06-02,2105.26,17838.56,4531.35
2016-06-03,2099.13,17807.06,4509.79
2016-06-06,2109.41,17920.33,4523.63
2016-06-07,2112.13,17938.28,4513.09
2016-06-08,2119.12,18005.05,4520.63
2016-06-09,2115.48,17985.19,4512.69
2016-06-10,2096.07,17865.34,4461.05
2016-06-13,2079.06,17732.48,4422.76
2016-06-14,2075.32,17674.82,4424.91
2016-06-15,2071.5,17640.17,4409.51
2016-06-16,2077.99,17733.1,4424.23
2016-06-17,2071.22,17675.16,4374.38
2016-06-20,2083.25,17804.87,4400.16
2016-06-21,2088.9,17829.73,4413.4
2016-06-22,2085.45,17780.83,4404.73
2016-06-23,2113.32,18011.07,4467.48
2016-06-24,2037.41,17400.75,4285.7
2016-06-27,2000.54,17140.24,4201.05
2016-06-28,2036.09,17409.72,4290.47
2016-06-29,2070.77,17694.68,4364.74
2016-06-30,2098.86,17929.99,4417.7
2016-07-01,2102.95,17949.37,4437.44
2016-07-04,,,
2016-07-05,2088.55,17840.62,4410.75
2016-07-06,2099.73,17918.62,4444.7
